#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
168,01:33:42.71,30:43:49.6,7.65,-5,0.5,0.5,28,-24.61,<1.3e20,x,3.30E+08,28,0.2,FALSE
169,01:33:42.96,30:42:53.0,6.47,-5,1,0.5,23,-25.33,6.30E+19,x,6.10E+08,40,0.36,FALSE
170,01:33:43.02,30:44:40.8,7.31,-2,1,0.5,12,-23.12,1.80E+19,x,9.20E+07,13,0.23,FALSE
171,01:33:43.80,30:40:56.7,7.52,-1,1.6,0.5,17,-23.67,5.70E+19,x,1.50E+08,17,0.21,FALSE
172,01:33:43.85,30:32:10.4,8.67,-1,1.9,0.5,22,-23.06,1.10E+20,x,8.80E+07,13,0.12,FALSE
173,01:33:44.10,30:26:50.2,7.65,-5,11,1,35,-25.09,1.60E+21,x,4.90E+08,35,0.21,FALSE
174,01:33:44.10,30:30:00.8,8.97,-2,1.4,0.5,45,-24.31,3.40E+20,x,2.50E+08,24,0.11,FALSE
175,01:33:44.15,30:48:36.0,7.36,-2,98,3,14,-23.39,2.30E+21,x,1.20E+08,15,0.22,FALSE
176,01:33:44.51,30:37:52.7,8.82,-5,10.9,0.5,50,-24.67,3.30E+21,x,3.50E+08,29,0.12,FALSE
177,01:33:44.66,30:21:09.4,8.72,-3,0,0.5,22,-23.01,<5.3e19,x,8.40E+07,12,0.12,FALSE
178,01:33:45.10,30:47:46.7,7.58,-2,1.3,0.5,14,-23.09,2.90E+19,x,9.00E+07,13,0.19,FALSE
179,01:33:45.14,30:49:09.2,8.68,-5,-0.7,0.5,21,-22.94,<1.1e19,x,7.90E+07,12,0.12,FALSE
180,01:33:45.50,30:30:40.7,7.55,-3,11.6,0.5,20,-23.93,5.40E+20,x,1.80E+08,20,0.2,FALSE
181,01:33:45.80,30:27:17.3,8.48,-3.8,1.2,0.5,81,-26.07,9.50E+20,x,1.10E+09,58,0.15,FALSE
182,01:33:46.29,30:47:51.0,8.89,-3,0.4,0.5,45,-24.37,<3.1e20,x,2.70E+08,25,0.11,FALSE
183,01:33:47.00,30:45:58.8,8.36,-4,5.8,0.5,73,-25.94,3.60E+21,e,,54,0.15,TRUE
184,01:33:47.00,30:46:36.3,7.5,-5,4.8,0.6,27,-24.62,4.00E+20,x,3.30E+08,28,0.21,FALSE
185,01:33:48.07,30:54:51.7,7.55,-1,9.4,0.5,15,-23.33,2.50E+20,x,1.10E+08,15,0.2,FALSE
186,01:33:48.46,30:45:38.7,8.48,-1,0.2,0.5,23,-23.32,<6.9e19,x,1.10E+08,15,0.13,FALSE
